Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
658d4166-8645-423c-a412-db4ed7b5428d,PathCellObject,,PathAnnotationObject,527.3,13.58
5e1993c2-74cc-40d0-b4ee-fde81ad4d396,PathCellObject,,PathAnnotationObject,563.8,12.4
801c79b6-d806-4322-a65a-4574617a3938,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,PathAnnotationObject,676.76,17.16
61b2d47a-54be-4289-81b6-053c2509f053,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,704.97,14.35
efd195e1-84d5-480f-b6b1-0c72003be75c,PathCellObject,,PathAnnotationObject,5.547,14.05
67a6102b-ae55-4ba4-b0d3-2f9034813ef2,Target: CD8,Target: CD8,PathAnnotationObject,92.42,14.93
59609afa-a892-47db-bbea-563b94d55b95,PathCellObject,,PathAnnotationObject,443.88,14.58
dc23d32d-fd6f-4192-a82c-fd570a14e4b4,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,719.86,12.34
f44cb85c-7b39-4ef0-875e-c4ea1927b7b2,Target: CD8,Target: CD8,PathAnnotationObject,167.53,13.18
0fe45aea-4d97-4d2c-9c5b-6d878024f647,Target: CD3,Target: CD3,PathAnnotationObject,285.73,13.15
b8fc1ec4-e56b-42bd-ac0c-c978ecadc504,PathCellObject,,PathAnnotationObject,461.02,15.56
af9b57e2-19dc-4a2e-963a-f57751bbaa57,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,779.7,15.78
cf55a59c-7616-426b-8eba-be513f5d99d8,PathCellObject,,PathAnnotationObject,41.81,15.9
65451970-0396-4b1c-bb9d-b5e2cc9d47fd,PathCellObject,,PathAnnotationObject,77.65,17.77
95991951-c1e8-401e-903b-84e55b212906,Target: CD68,Target: CD68,PathAnnotationObject,337.47,15.61
01aed1fa-bbac-43a9-b145-2bd788a00af7,PathCellObject,,PathAnnotationObject,417.57,16.32
10610bf4-451f-4898-845d-38705cac79aa,PathCellObject,,PathAnnotationObject,505.76,14.07
8412c8a5-0b72-4eaf-a1be-c05090e86e4f,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,647.93,13.95
b16f909f-24be-4591-814e-37f95595ecb0,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,PathAnnotationObject,657.8,15.01
22b95419-d9a5-4660-b2b2-416f8c11c964,Target: FoxP3,Target: FoxP3,PathAnnotationObject,264.19,16.04
559bf501-a4b4-480a-9f8c-da787d87d005,Target: CD3: CD4: FoxP3,Target: CD3: CD4: FoxP3,PathAnnotationObject,453.69,16.38
1183b1b6-add4-4c55-a3ee-8bd74d1fca4f,PathCellObject,,PathAnnotationObject,325.36,14.5
1858426f-2a82-490f-aead-4aeb41a58eea,PathCellObject,,PathAnnotationObject,404.39,15.86
1e587ee7-05b6-4bf1-b626-309f3cbac2e2,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,PathAnnotationObject,666.66,17.49
31dacb08-2f44-41e3-b880-74a71cc78923,Target: CD68,Target: CD68,PathAnnotationObject,304.1,18.07
38424926-9a74-4bd1-92a5-708c00268a09,PathCellObject,,PathAnnotationObject,394.5,15.23
2dfa428c-5ed2-4868-9af9-91eca5adf9b0,Target: CD3,Target: CD3,PathAnnotationObject,796.29,17.16
d6b27001-0892-417e-93b2-5497c894f8c5,PathCellObject,,PathAnnotationObject,27.75,19.23
6e754c88-4743-4f14-ad1c-994a668606a6,PathCellObject,,PathAnnotationObject,473.89,19.14
e77c30a8-02f4-407b-b192-34c955e08869,Target: CD68,Target: CD68,PathAnnotationObject,498.9,18.36
209bef4a-fec7-4937-879f-2000fefe530b,Target: CD3,Target: CD3,PathAnnotationObject,555.79,17.26
cc93fcff-b4bc-4d6d-a7b1-a2f9eafaa40a,Target: CD68,Target: CD68,PathAnnotationObject,594.04,19.45
93464597-4f4d-416a-82f8-cf45d9ee0628,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,726.49,17.61
f9593584-93d9-4530-9a11-5de4b233ecf9,PathCellObject,,PathAnnotationObject,19.76,18.06
276f7b7e-f3b6-438d-b80f-28258df60494,PathCellObject,,PathAnnotationObject,432.49,18.91
417430c2-de22-4c33-829b-ce025ab84b1f,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,547.09,20.13
b29801a8-d89d-47dc-895c-923a1597832f,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,PathAnnotationObject,736.31,21.43
b884c3a1-9ceb-45de-be73-958bee6ea9fa,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,PathAnnotationObject,713.19,19.15
ec0f5e61-1fec-4e87-8cd0-bd0949aa67e6,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,749.73,19.53
3c0b58e7-bf21-485f-bb4c-440337134a31,PathCellObject,,PathAnnotationObject,57.91,22.84
6b752593-636c-4259-9d79-c24b3ea87acb,Target: CD68,Target: CD68,PathAnnotationObject,173.26,20.48
8d79c1c0-8544-4d58-a3df-14b7cd9e80ea,PathCellObject,,PathAnnotationObject,329.32,17.96
da40c7a3-d542-4ebc-9ba5-3e3e540d9ad6,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,612.53,20.35
ab0a06b1-375d-4393-881a-bc873b1fd4b6,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,279.17,20.24
54e4acac-2a0c-451b-8cb9-db3cef92ad77,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,628.25,19.75
571d4783-453e-40f3-bf06-c668d4101de4,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,767.29,20.28
22609867-20cc-4855-8428-047fa55ca05b,Target: CD20: CD3,Target: CD20: CD3,PathAnnotationObject,788.16,19.19
54620e9e-1d83-4905-9144-ce5d488b5ea5,Target: CD3: CD8: FoxP3,Target: CD3: CD8: FoxP3,PathAnnotationObject,273.09,21.6
fc2bd80c-4f7c-427d-b4d0-68a6c049db9f,PathCellObject,,PathAnnotationObject,389.45,19.23
8ef92674-349c-454a-83c5-8ade86c68a63,PathCellObject,,PathAnnotationObject,514.06,22.71
32ad6a78-600b-48a3-b68d-16e61f01d938,PathCellObject,,PathAnnotationObject,526.6,19.47
eed655f1-be58-41e3-b775-c53a7468903f,PathCellObject,,PathAnnotationObject,354.44,21.37
da61f829-abdd-4b77-9ae0-afb2ef3c4513,Target: CD3: CD8,Target: CD3: CD8,PathAnnotationObject,566.41,23.65
eb5e913f-d9fd-4ec7-8a55-0d0d116c2a26,PathCellObject,,PathAnnotationObject,316.19,25.17
9bca7c62-3eea-476a-a34a-d8d6c3747d89,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,701.08,20.23
ebe9f719-7b6a-4b1f-8b3c-ed43663d998a,PathCellObject,,PathAnnotationObject,3.406,24.17
8ac72e77-bab1-4cd3-8ee6-35bbad3113bd,PathCellObject,,PathAnnotationObject,466.11,23.81
05d53378-ab00-443b-8da3-6e58baf16a21,PathCellObject,,PathAnnotationObject,488.07,22.33
ba5c02c2-aeb6-4026-b736-968d08752f42,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,640.61,20.73
b1e5471e-7ca0-47d9-92ac-eb2802d78e73,PathCellObject,,PathAnnotationObject,399.23,22.95
4d64ac32-6c6b-4506-8207-000209de5e26,PathCellObject,,PathAnnotationObject,409.94,23.74
919de121-9667-49b0-aa6b-b3a18e5ac74f,PathCellObject,,PathAnnotationObject,444.99,21.78
15708307-8bbb-4785-9d7e-641f18bf6aae,Target: CD20: CD68,Target: CD20: CD68,PathAnnotationObject,138.81,22.5
ab16fe33-d57a-4491-860d-b58d25ecf71c,Target: CD68,Target: CD68,PathAnnotationObject,153.57,23.45
6df5dbf0-33b0-4a8e-a0e1-ab1bdcf492b6,Target: CD3: FoxP3,Target: CD3: FoxP3,PathAnnotationObject,267.31,24.62
96a2f898-6c4c-4b8d-b710-02304ba3badf,PathCellObject,,PathAnnotationObject,508.04,24.69
49351ccb-dce3-455f-998a-cce60517b971,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,651.16,23.37
6dd60bc6-df91-4097-ac1e-10803e0392e5,PathCellObject,,PathAnnotationObject,36.79,25.41
cf87c47d-aea5-4e97-a1fd-37ab575d1451,Target: CD68,Target: CD68,PathAnnotationObject,204.9,24.61
79b25fe5-098c-46d2-a256-5cc45bc4302e,PathCellObject,,PathAnnotationObject,12.94,24.59
27ca3c35-2abf-483c-81ec-42cb3553a46d,Target: CD3,Target: CD3,PathAnnotationObject,189.13,23.33
4c91984c-ed94-40a8-85c7-1294b8b4c535,PathCellObject,,PathAnnotationObject,330.83,22.94
37795430-d912-4d80-ba23-15ad0381f4a8,PathCellObject,,PathAnnotationObject,520.77,21.84
3df1d569-0d11-4d0b-83a3-0ecaaa9a6a0f,Target: CD8,Target: CD8,PathAnnotationObject,576.95,27.39
b1fde48e-c5c8-40c3-b09f-5f6c24b18b40,Target: CD20: CD68: CD3: CD4: FoxP3,Target: CD20: CD68: CD3: CD4: FoxP3,PathAnnotationObject,718.66,25.12
